GSM,405,66,39971,78.002205,27.196672,L32
GSM,405,66,16762,78.002243,27.195969,L32
GSM,405,66,10753,78.003859,27.200735,L32
GSM,405,66,10751,78.00499,27.203178,L32
GSM,405,66,19562,78.008423,27.204895,L32
GSM,405,66,4813,78.010006,27.21019,L32
GSM,405,66,50823,78.016575,27.208314,L32
GSM,405,66,50822,78.0229,27.208294,L32
GSM,405,66,7581,77.997227,27.17406,L32
GSM,405,66,12313,78.013803,27.175482,L32
GSM,405,66,23982,78.015461,27.168503,L32
GSM,405,66,49391,78.017349,27.176743,L32
GSM,405,66,19553,78.002243,27.196426,L32
GSM,405,66,49392,78.015976,27.17205,L32
GSM,405,66,10613,77.99263,27.175244,L32
GSM,405,66,18422,78.017006,27.181091,L32
GSM,405,66,18421,78.018526,27.182236,L32
GSM,405,66,65481,77.997211,27.174194,L32
GSM,405,66,16763,77.996818,27.194799,L32
GSM,405,66,10583,78.017349,27.176743,L32
GSM,405,66,60671,77.991943,27.174683,L32
GSM,405,66,23853,77.975464,27.180862,L32
GSM,405,66,23852,77.978134,27.179489,L32
GSM,405,53,61681,85.842884,20.295272,L24
GSM,405,53,42852,85.8424,20.29534,L24
GSM,405,53,54833,85.84237,20.295207,L24
GSM,405,53,54861,85.842361,20.295181,L24
GSM,405,53,54863,85.842361,20.295181,L24
GSM,405,53,40211,85.842772,20.293597,L24
GSM,405,53,40212,85.842876,20.289542,L24
GSM,405,53,42071,85.843553,20.285965,L24
GSM,405,53,42072,85.843601,20.285372,L24
GSM,405,53,42782,85.843735,20.280557,L24
GSM,405,53,40593,85.845066,20.278976,L24
GSM,405,53,40291,85.843195,20.276037,L24
GSM,405,53,41551,85.845162,20.296231,L24
GSM,405,53,42851,85.842361,20.296478,L24
GSM,405,53,40402,85.844127,20.281056,L24
GSM,405,53,42113,85.849155,20.286813,L24
GSM,405,53,41692,85.850367,20.290057,L24
GSM,405,53,41552,85.850712,20.293192,L24
GSM,405,53,41553,85.846415,20.295624,L24
GSM,405,53,40213,85.842361,20.290687,L24
GSM,405,52,58281,85.124847,25.623073,L4
GSM,405,52,39163,85.125504,25.62355,L4
GSM,405,52,38483,85.122757,25.619431,L4
GSM,405,52,50331,85.121555,25.617542,L4
GSM,405,52,50332,85.120239,25.615425,L4
GSM,405,52,21131,85.119618,25.612368,L4
GSM,405,52,45613,85.122391,25.610092,L4
GSM,405,52,38472,85.12463,25.610067,L4
GSM,405,52,39082,85.077438,25.607113,L4
GSM,405,52,21073,85.078186,25.606479,L4
GSM,405,52,39083,85.076981,25.607895,L4
GSM,405,52,37891,85.077438,25.607071,L4
GSM,405,52,21072,85.082261,25.605378,L4
GSM,405,52,52493,85.08509,25.604717,L4
GSM,405,52,52492,85.088228,25.604184,L4
GSM,405,52,21092,85.093952,25.604019,L4
GSM,405,52,21091,85.102331,25.604416,L4
GSM,405,52,21102,85.111908,25.604084,L4
GSM,405,52,38682,85.117272,25.606868,L4
GSM,405,52,21103,85.105762,25.604324,L4
GSM,405,52,21101,85.11524,25.605698,L4
GSM,405,52,20913,85.121181,25.605062,L4
GSM,405,52,20911,85.128021,25.604187,L4
GSM,405,52,20872,85.102158,25.604324,L4
GSM,405,52,25622,85.102158,25.604324,L4
GSM,405,52,54181,85.33437,23.349834,L12
GSM,405,52,31022,85.336037,23.351238,L12
GSM,405,54,61481,81.832626,25.451889,L33
GSM,405,804,12641,73.841171,18.526382,L18
GSM,405,803,12033,77.594376,12.97142,L13
GSM,405,36,7741,88.363724,22.572098,L36
GSM,405,38,22849,77.428207,23.25119,L16
UMTS,405,37,34089834,73.863144,18.514709,L18
UMTS,405,37,34109725,73.863602,18.515625,L18
GSM,405,38,30514,77.430267,23.25119,L16
GSM,405,36,11212,88.367844,22.574844,L36
GSM,405,37,31131,73.846359,18.509903,L18
GSM,405,36,363,88.351364,22.543259,L36
GSM,405,52,50091,85.304651,23.354214,L12
GSM,405,36,16011,88.363724,22.544632,L36
GSM,405,752,19072,85.306778,23.355789,L12
GSM,405,52,24752,85.302658,23.334274,L12
GSM,405,66,57871,77.995377,27.206955,L32
GSM,405,53,40223,85.830002,20.273209,L24
UMTS,405,30,19748494,72.631322,23.223038,L8
UMTS,405,30,19738517,72.631302,23.223038,L8
UMTS,405,30,50594049,72.633788,23.224601,L8
UMTS,405,30,19758494,72.631989,23.223553,L8
UMTS,405,30,19758503,72.631302,23.223038,L8
UMTS,405,30,19738494,72.636795,23.224411,L8
UMTS,405,30,19748495,72.640915,23.229904,L8
UMTS,405,30,19738495,72.644424,23.239365,L8
